anime_id,title,type,source,episodes,status,score,scored_by,rank,popularity,members,favorites,premiered,studio,genre
2052,Nozomi Witches,OVA,Manga,3,Finished Airing,6.4,226,5999.0,8590,848,1,,,"Romance, Sports"
11919,Zoku Attacker You! Kin Medal e no Michi,TV,Unknown,52,Finished Airing,6.19,167,6817.0,9459,518,1,,,"Sports, Romance"
7750,DigiGirl Pop!: Strawberry & Pop Mix Flavor,TV,Unknown,26,Finished Airing,6.17,23,9975.0,11041,218,3,Winter 2003,Creators Dot Com,"Comedy, Sci-Fi"
34235,Pittanko! Nekozakana,TV,Original,50,Finished Airing,5.75,4,11771.0,12146,139,0,Fall 2016,"TMS Entertainment, Studio Comet","Comedy, Kids"
16818,Eunhahamdae Jiguho,Movie,Unknown,1,Finished Airing,4.59,17,10070.0,12386,127,0,,,"Action, Kids, Adventure, Space, Sci-Fi"
35770,Hungry Days: Aoharu ka yo.,Special,Other,6,Finished Airing,5.85,429,7694.0,5102,4484,5,,Tatsunoko Production,"Slice of Life, Magic, Romance"
4705,Tengen Toppa Gurren Lagann: Parallel Works,Music,Original,8,Finished Airing,7.23,13316,2697.0,2336,25393,24,,Gainax,Music
2049,Kouryuu Densetsu Villgust,OVA,Game,2,Finished Airing,6.17,523,6868.0,7772,1282,3,,Animate Film,"Action, Adventure, Comedy, Fantasy, Romance"
636,Juubee-chan 2: Siberia Yagyuu no Gyakushuu,TV,Original,13,Finished Airing,6.94,3156,3776.0,4131,7605,23,Winter 2004,Madhouse,"Adventure, Comedy, Drama, Martial Arts, Samurai, Shounen"
3318,Kimi ga Nozomu Eien: Next Season,OVA,Visual novel,4,Finished Airing,7.02,12028,3500.0,2475,23016,34,,Brain&#039;s Base,"Drama, Romance"
16347,Usavich V,TV,Original,13,Finished Airing,6.52,676,5535.0,7774,1282,0,Winter 2013,Kanaban Graphics,Comedy
142,Kamikaze Kaitou Jeanne,TV,Manga,44,Finished Airing,7.52,19131,1577.0,1885,36496,408,Winter 1999,Toei Animation,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo"
21869,Tarepanda,OVA,Unknown,1,Finished Airing,5.35,49,12375.0,11435,185,0,,,Music
17353,Tenpou Suikoden Neo,TV,Unknown,5,Finished Airing,4.97,125,9073.0,8988,683,1,Winter 2013,Kachidoki Studio,Historical
3614,Yakushiji Ryouko no Kaiki Jikenbo,TV,Light novel,13,Finished Airing,7.16,4430,2986.0,3328,12796,33,Summer 2008,Doga Kobo,"Mystery, Police, Supernatural"
3820,Space Station No.9,Music,Music,1,Finished Airing,5.86,1093,7678.0,6896,1967,0,,Studio Ghibli,"Sci-Fi, Music, Space"
34815,Ningyohime,Movie,Book,1,Finished Airing,5.27,15,11482.0,13780,62,0,,,"Kids, Fantasy"
2181,TANK S.W.A.T. 01,OVA,Unknown,1,Finished Airing,5.08,711,8972.0,7232,1684,0,,,"Police, Mecha"
37254,Last Period: Owarinaki Rasen no Monogatari,TV,Game,12,Currently Airing,5.99,1775,7348.0,3277,13264,8,Spring 2018,J.C.Staff,"Action, Adventure, Comedy, Fantasy, Magic"
35389,Inaba no Kuni no Usagi-san,Movie,Original,1,Finished Airing,5.41,51,8530.0,13028,98,0,,,Adventure
16662,Kaze Tachinu,Movie,Manga,1,Finished Airing,8.2,64580,316.0,752,115143,962,,Studio Ghibli,"Drama, Historical, Romance"
9650,Dream C Club Pure Songs Clips,Music,Unknown,2,Finished Airing,5.51,150,8354.0,9723,447,0,,,Music
34973,Love Live! Sunshine!! 2nd Season,TV,Original,13,Finished Airing,7.78,17387,927.0,1648,44741,765,Fall 2017,Sunrise,"Music, School, Slice of Life"
3394,Kimagure Orange☆Road: Shounen Jump Special,OVA,Manga,1,Finished Airing,6.71,1066,4713.0,6504,2365,3,,Studio Pierrot,"Romance, Drama, Shounen"
13679,Tottoko Hamtarou Hai!,TV,Unknown,77,Finished Airing,6.69,909,4821.0,6485,2395,6,Spring 2006,,"Kids, Adventure"
3060,Dallos,OVA,Original,4,Finished Airing,6.04,1248,7259.0,5528,3650,3,,Studio Pierrot,"Action, Mecha, Sci-Fi"
33221,Mobile Suit Gundam Thunderbolt: December Sky,Movie,Manga,1,Finished Airing,7.95,3942,619.0,4065,7864,46,,Sunrise,"Action, Military, Sci-Fi, Space, Drama, Mecha"
3676,Machine Robo: Cronos no Dai Gyakushuu,TV,Original,47,Finished Airing,6.45,154,5799.0,8546,867,1,Summer 1986,Production Reed,"Action, Sci-Fi, Space, Mecha"
33710,Run & Roll,Movie,Original,1,Finished Airing,4.56,98,9339.0,11374,190,0,,,Dementia
25491,Megumi to Taiyou III: Kajuu Gummi Tweet Fantasy - Timeline World,Special,Original,1,Finished Airing,5.29,107,8706.0,10087,369,0,,"Madhouse, MAPPA",Fantasy
4134,"Naruto Shippuuden: Shippuu! ""Konoha Gakuen"" Den",Special,Unknown,1,Finished Airing,7.26,20787,2578.0,1771,40214,282,,Studio Pierrot,Comedy
369,Boogiepop wa Warawanai: Boogiepop Phantom,TV,Light novel,12,Finished Airing,7.21,16586,2764.0,1380,57994,493,Winter 2000,Madhouse,"Psychological, Supernatural, Dementia, Mystery, Horror, Drama"
7960,Pachislo Kizoku Gin,TV,Unknown,23,Finished Airing,6.13,24,11703.0,10235,338,0,Spring 2001,Actas,"Action, Game"
14125,Otogi no Kuni no Birthday,Music,Music,1,Finished Airing,4.86,96,9162.0,11312,194,0,,,"Kids, Music"
37098,Xiong Chumo Zhi: Nianhuo,Special,Original,1,Finished Airing,2.44,9,12712.0,14202,34,0,,,"Adventure, Comedy, Kids"
28035,Kitsune no Home Run Ou,Movie,Original,1,Finished Airing,5.2,53,8831.0,11699,165,1,,,"Kids, Sports"
6209,Macross 7 Plus,Special,Original,11,Finished Airing,6.91,1726,3882.0,5046,4583,8,,Production Reed,"Mecha, Music, Slice of Life"
1690,Bokurano,TV,Manga,24,Finished Airing,7.75,31357,981.0,869,100400,927,Spring 2007,Gonzo,"Sci-Fi, Psychological, Drama, Mecha"
10549,Precure All Stars GoGo Dream Live!,Special,Original,1,Finished Airing,6.96,821,3714.0,6730,2130,4,,Toei Animation,"Action, Fantasy, Magic, Shoujo"
30235,Kochira Tamago Outou Negaimasu,OVA,Unknown,1,Finished Airing,4.59,17,10935.0,13433,79,0,,,"Comedy, School"
5751,Tennis no Ouji-sama: Another Story - Kako to Mirai no Message,OVA,Unknown,4,Finished Airing,7.78,5078,931.0,3542,10941,34,,M.S.C,"Comedy, Sports, School, Shounen"
3101,F-Zero: Falcon Densetsu,TV,Game,51,Finished Airing,6.45,1314,5789.0,4854,5051,48,Fall 2003,Production Reed,"Action, Sci-Fi, Adventure, Cars, Sports, Mecha, Shounen"
4531,Dark Cat,OVA,Manga,1,Finished Airing,3.65,1045,9484.0,6731,2129,6,,,"Action, Super Power, Supernatural, Demons, Horror"
1472,City Hunter 3,TV,Manga,13,Finished Airing,7.93,4256,637.0,3871,8884,21,Fall 1989,Sunrise,"Action, Comedy, Mystery, Shounen"
380,Fushigi Yuugi OVA,OVA,Manga,3,Finished Airing,7.25,9218,2607.0,2928,16611,86,,Studio Pierrot,"Adventure, Fantasy, Romance, Comedy, Historical, Shoujo"
15059,Initial D Fifth Stage,TV,Manga,14,Finished Airing,8.15,24191,373.0,1614,46285,260,Fall 2012,SynergySP,"Action, Cars, Sports, Drama, Seinen"
29597,Hana,Movie,Unknown,1,Finished Airing,4.64,197,9296.0,10072,373,0,,,Comedy
2690,Urban Square: Kouhaku no Tsuigeki,OVA,Original,1,Finished Airing,6.16,382,6918.0,8459,909,0,,,"Action, Mystery, Seinen"
22385,a_caFe,Music,Original,1,Finished Airing,4.6,292,9320.0,9430,527,0,,,"Fantasy, Music"
5475,Time Bokan 2000: Kaitou Kiramekiman,TV,Unknown,26,Finished Airing,6.16,83,6917.0,9758,436,1,Spring 2000,Tatsunoko Production,"Action, Adventure, Comedy, Mecha, Sci-Fi"
6579,Chikyuu Bouei Kazoku Special,Special,Original,1,Finished Airing,6.41,83,5952.0,10563,282,0,,,"Action, Game, Drama"
32151,Senki Zesshou Symphogear GX: Senki Zesshou Shinai Symphogear,Special,Original,4,Finished Airing,7.01,1054,3544.0,6054,2881,6,,Satelight,"Sci-Fi, Music, Slice of Life, Comedy"
11275,Akadou Suzunosuke,TV,Unknown,52,Finished Airing,5.88,57,7609.0,10177,346,1,Spring 1972,,"Adventure, Historical"
1754,Di Gi Charat Summer Special 2000,Special,Unknown,4,Finished Airing,6.62,887,5106.0,6942,1930,1,,Madhouse,Comedy
33964,91 Days Recap,Special,Original,1,Finished Airing,6.37,8280,6100.0,3042,15245,5,,Shuka,"Action, Historical, Drama"
30176,Kujira,Movie,Original,1,Finished Airing,5.21,39,10998.0,12314,131,0,,,Adventure
1150,Legend of Crystania OVA,OVA,Unknown,3,Finished Airing,6.08,1150,7149.0,5924,3048,5,,,"Action, Adventure, Fantasy, Magic, Supernatural"
